struct,time,k,N,dim
dumbKNN,1891813,16,100000,7
dumbKNN,2386470,32,100000,7
dumbKNN,2891635,64,100000,7
bucketKNN,4378,2,100,1
bucketKNN,8629,4,100,1
bucketKNN,12975,8,100,1
bucketKNN,17522,16,100,1
bucketKNN,21999,32,100,1
bucketKNN,26182,64,100,1
bucketKNN,23714,2,1000,1
bucketKNN,47284,4,1000,1
bucketKNN,70858,8,1000,1
bucketKNN,94609,16,1000,1
bucketKNN,117935,32,1000,1
bucketKNN,141899,64,1000,1
bucketKNN,22210,2,10000,1
bucketKNN,43794,4,10000,1
bucketKNN,65593,8,10000,1
bucketKNN,88451,16,10000,1
bucketKNN,110245,32,10000,1
bucketKNN,132053,64,10000,1
bucketKNN,25630,2,100000,1
bucketKNN,55159,4,100000,1
bucketKNN,80882,8,100000,1
bucketKNN,106793,16,100000,1
bucketKNN,132401,32,100000,1
bucketKNN,158237,64,100000,1
bucketKNN,5620,2,100,2
bucketKNN,11214,4,100,2
bucketKNN,16971,8,100,2
bucketKNN,22995,16,100,2
bucketKNN,28732,32,100,2
bucketKNN,34448,64,100,2
bucketKNN,48192,2,1000,2
bucketKNN,96386,4,1000,2
bucketKNN,144613,8,1000,2
bucketKNN,192462,16,1000,2
bucketKNN,240777,32,1000,2
bucketKNN,288988,64,1000,2
bucketKNN,94568,2,10000,2
bucketKNN,188943,4,10000,2
bucketKNN,282967,8,10000,2
bucketKNN,377313,16,10000,2
bucketKNN,472228,32,10000,2
bucketKNN,570048,64,10000,2
bucketKNN,140963,2,100000,2
bucketKNN,281600,4,100000,2
bucketKNN,423225,8,100000,2
bucketKNN,564932,16,100000,2
bucketKNN,705511,32,100000,2
bucketKNN,846003,64,100000,2
bucketKNN,3617,2,100,3
bucketKNN,7384,4,100,3
bucketKNN,11070,8,100,3
bucketKNN,14813,16,100,3
bucketKNN,18716,32,100,3
bucketKNN,22395,64,100,3
bucketKNN,45391,2,1000,3
bucketKNN,91167,4,1000,3
bucketKNN,137193,8,1000,3
bucketKNN,182905,16,1000,3
bucketKNN,228297,32,1000,3
bucketKNN,273330,64,1000,3
bucketKNN,227756,2,10000,3
bucketKNN,454996,4,10000,3
bucketKNN,682390,8,10000,3
bucketKNN,909535,16,10000,3
bucketKNN,1134591,32,10000,3
bucketKNN,1359971,64,10000,3
bucketKNN,426881,2,100000,3
bucketKNN,855267,4,100000,3
bucketKNN,1281740,8,100000,3
bucketKNN,1711009,16,100000,3
bucketKNN,2140123,32,100000,3
bucketKNN,2565863,64,100000,3
bucketKNN,4404,2,100,4
bucketKNN,8834,4,100,4
bucketKNN,13209,8,100,4
bucketKNN,17591,16,100,4
bucketKNN,22057,32,100,4
bucketKNN,26261,64,100,4
bucketKNN,49714,2,1000,4
bucketKNN,99215,4,1000,4
bucketKNN,149185,8,1000,4
bucketKNN,198616,16,1000,4
bucketKNN,248746,32,1000,4
bucketKNN,298267,64,1000,4
bucketKNN,455266,2,10000,4
bucketKNN,912236,4,10000,4
bucketKNN,1367200,8,10000,4
bucketKNN,1821752,16,10000,4
bucketKNN,2276463,32,10000,4
bucketKNN,2729545,64,10000,4
bucketKNN,2031195,2,100000,4
bucketKNN,4065090,4,100000,4
bucketKNN,6099864,8,100000,4
bucketKNN,8137535,16,100000,4
bucketKNN,10177561,32,100000,4
bucketKNN,12209685,64,100000,4
bucketKNN,3848,2,100,5
bucketKNN,7968,4,100,5
bucketKNN,11795,8,100,5
bucketKNN,15690,16,100,5
bucketKNN,19600,32,100,5
bucketKNN,23586,64,100,5
bucketKNN,48476,2,1000,5
bucketKNN,97084,4,1000,5
bucketKNN,145877,8,1000,5
bucketKNN,194806,16,1000,5
bucketKNN,243872,32,1000,5
bucketKNN,292575,64,1000,5
bucketKNN,596934,2,10000,5
bucketKNN,1194755,4,10000,5
bucketKNN,1789903,8,10000,5
bucketKNN,2384537,16,10000,5
bucketKNN,2984002,32,10000,5
bucketKNN,3580441,64,10000,5
bucketKNN,3025175,2,100000,5
bucketKNN,6049501,4,100000,5
bucketKNN,9076899,8,100000,5
bucketKNN,12100535,16,100000,5
bucketKNN,15127694,32,100000,5
bucketKNN,18153207,64,100000,5
bucketKNN,3712,2,100,6
bucketKNN,7341,4,100,6
bucketKNN,11228,8,100,6
bucketKNN,15119,16,100,6
bucketKNN,18909,32,100,6
bucketKNN,22597,64,100,6
bucketKNN,48093,2,1000,6
bucketKNN,95951,4,1000,6
bucketKNN,144055,8,1000,6
bucketKNN,192176,16,1000,6
bucketKNN,240947,32,1000,6
bucketKNN,289195,64,1000,6
bucketKNN,604924,2,10000,6
bucketKNN,1209592,4,10000,6
bucketKNN,1811415,8,10000,6
bucketKNN,2419979,16,10000,6
bucketKNN,3020635,32,10000,6
bucketKNN,3624882,64,10000,6
bucketKNN,4562161,2,100000,6
bucketKNN,9124179,4,100000,6
bucketKNN,13706542,8,100000,6
bucketKNN,18268296,16,100000,6
bucketKNN,22843406,32,100000,6
bucketKNN,27400607,64,100000,6
bucketKNN,4481,2,100,7
bucketKNN,8569,4,100,7
bucketKNN,12841,8,100,7
bucketKNN,16834,16,100,7
bucketKNN,21227,32,100,7
bucketKNN,25219,64,100,7
bucketKNN,53025,2,1000,7
bucketKNN,106192,4,1000,7
bucketKNN,159255,8,1000,7
bucketKNN,212262,16,1000,7
bucketKNN,265077,32,1000,7
bucketKNN,318524,64,1000,7
bucketKNN,623620,2,10000,7
bucketKNN,1245209,4,10000,7
bucketKNN,1867712,8,10000,7
bucketKNN,2492040,16,10000,7
bucketKNN,3115246,32,10000,7
bucketKNN,3738170,64,10000,7
bucketKNN,8014505,2,100000,7
bucketKNN,16059505,4,100000,7
bucketKNN,24076493,8,100000,7
bucketKNN,32088607,16,100000,7
bucketKNN,40105324,32,100000,7
bucketKNN,48103170,64,100000,7
quadTree,723,2,100,2
quadTree,1610,4,100,2
quadTree,2412,8,100,2
quadTree,3458,16,100,2
quadTree,4442,32,100,2
quadTree,5473,64,100,2
quadTree,5616,2,1000,2
quadTree,11743,4,1000,2
quadTree,18183,8,1000,2
quadTree,25540,16,1000,2
quadTree,34196,32,1000,2
quadTree,43805,64,1000,2
quadTree,53044,2,10000,2
quadTree,108487,4,10000,2
quadTree,166213,8,10000,2
quadTree,228672,16,10000,2
quadTree,294382,32,10000,2
quadTree,366836,64,10000,2
quadTree,538346,2,100000,2
quadTree,1087640,4,100000,2
quadTree,1642851,8,100000,2
quadTree,2201469,16,100000,2
quadTree,2785313,32,100000,2
quadTree,3388930,64,100000,2
kdTree,105,2,100,1
kdTree,662,4,100,1
kdTree,1386,8,100,1
kdTree,2142,16,100,1
kdTree,2927,32,100,1
kdTree,4026,64,100,1
kdTree,178,2,1000,1
kdTree,2314,4,1000,1
kdTree,11067,8,1000,1
kdTree,19897,16,1000,1
kdTree,29660,32,1000,1
kdTree,40310,64,1000,1
kdTree,264,2,10000,1
kdTree,6071,4,10000,1
kdTree,74311,8,10000,1
kdTree,159882,16,10000,1
kdTree,250156,32,10000,1
kdTree,350068,64,10000,1
kdTree,391,2,100000,1
kdTree,14037,4,100000,1
kdTree,431025,8,100000,1
kdTree,1331754,16,100000,1
kdTree,2247778,32,100000,1
kdTree,3253151,64,100000,1
kdTree,257,2,100,2
kdTree,812,4,100,2
kdTree,1526,8,100,2
kdTree,2497,16,100,2
kdTree,3894,32,100,2
kdTree,5438,64,100,2
kdTree,897,2,1000,2
kdTree,2843,4,1000,2
kdTree,9225,8,1000,2
kdTree,14342,16,1000,2
kdTree,21500,32,1000,2
kdTree,31110,64,1000,2
kdTree,3103,2,10000,2
kdTree,10250,4,10000,2
kdTree,22550,8,10000,2
kdTree,42223,16,10000,2
kdTree,71456,32,10000,2
kdTree,112538,64,10000,2
kdTree,5108,2,100000,2
kdTree,23620,4,100000,2
kdTree,61671,8,100000,2
kdTree,130129,16,100000,2
kdTree,230898,32,100000,2
kdTree,385194,64,100000,2
kdTree,519,2,100,3
kdTree,1172,4,100,3
kdTree,2195,8,100,3
kdTree,3672,16,100,3
kdTree,5217,32,100,3
kdTree,6756,64,100,3
kdTree,979,2,1000,3
kdTree,2965,4,1000,3
kdTree,5990,8,1000,3
kdTree,10781,16,1000,3
kdTree,17978,32,1000,3
kdTree,28348,64,1000,3
kdTree,2955,2,10000,3
kdTree,7640,4,10000,3
kdTree,16497,8,10000,3
kdTree,34085,16,10000,3
kdTree,55989,32,10000,3
kdTree,89238,64,10000,3
kdTree,5918,2,100000,3
kdTree,17226,4,100000,3
kdTree,38374,8,100000,3
kdTree,73511,16,100000,3
kdTree,130217,32,100000,3
kdTree,224421,64,100000,3
kdTree,485,2,100,4
kdTree,1340,4,100,4
kdTree,2333,8,100,4
kdTree,3713,16,100,4
kdTree,5503,32,100,4
kdTree,7448,64,100,4
kdTree,2435,2,1000,4
kdTree,6336,4,1000,4
kdTree,11049,8,1000,4
kdTree,17834,16,1000,4
kdTree,27359,32,1000,4
kdTree,40968,64,1000,4
kdTree,5042,2,10000,4
kdTree,12430,4,10000,4
kdTree,22777,8,10000,4
kdTree,38860,16,10000,4
kdTree,63216,32,10000,4
kdTree,100939,64,10000,4
kdTree,9444,2,100000,4
kdTree,23922,4,100000,4
kdTree,47157,8,100000,4
kdTree,83455,16,100000,4
kdTree,138294,32,100000,4
kdTree,225439,64,100000,4
kdTree,670,2,100,5
kdTree,1377,4,100,5
kdTree,2285,8,100,5
kdTree,3756,16,100,5
kdTree,5773,32,100,5
kdTree,8360,64,100,5
kdTree,3217,2,1000,5
kdTree,7380,4,1000,5
kdTree,12885,8,1000,5
kdTree,20654,16,1000,5
kdTree,31119,32,1000,5
kdTree,45491,64,1000,5
kdTree,7330,2,10000,5
kdTree,17950,4,10000,5
kdTree,33784,8,10000,5
kdTree,55341,16,10000,5
kdTree,86626,32,10000,5
kdTree,132550,64,10000,5
kdTree,12905,2,100000,5
kdTree,34571,4,100000,5
kdTree,66683,8,100000,5
kdTree,113163,16,100000,5
kdTree,180753,32,100000,5
kdTree,283006,64,100000,5
kdTree,798,2,100,6
kdTree,1685,4,100,6
kdTree,2970,8,100,6
kdTree,4638,16,100,6
kdTree,28655,32,100,6
kdTree,30980,64,100,6
kdTree,4444,2,1000,6
kdTree,10209,4,1000,6
kdTree,17499,8,1000,6
kdTree,26786,16,1000,6
kdTree,39132,32,1000,6
kdTree,54640,64,1000,6
kdTree,13046,2,10000,6
kdTree,30159,4,10000,6
kdTree,52486,8,10000,6
kdTree,82279,16,10000,6
kdTree,123818,32,10000,6
kdTree,181790,64,10000,6
kdTree,29280,2,100000,6
kdTree,68816,4,100000,6
kdTree,120603,8,100000,6
kdTree,190574,16,100000,6
kdTree,289259,32,100000,6
kdTree,426328,64,100000,6
kdTree,733,2,100,7
kdTree,1665,4,100,7
kdTree,2971,8,100,7
kdTree,5409,16,100,7
kdTree,7848,32,100,7
kdTree,10758,64,100,7
kdTree,5602,2,1000,7
kdTree,12696,4,1000,7
kdTree,20938,8,1000,7
kdTree,31142,16,1000,7
kdTree,43992,32,1000,7
kdTree,61450,64,1000,7
kdTree,21321,2,10000,7
kdTree,48190,4,10000,7
kdTree,81222,8,10000,7
kdTree,124513,16,10000,7
kdTree,179324,32,10000,7
kdTree,250797,64,10000,7
kdTree,50275,2,100000,7
kdTree,115143,4,100000,7
kdTree,198255,8,100000,7
kdTree,307194,16,100000,7
kdTree,451226,32,100000,7
kdTree,649166,64,100000,7
