struct,time,k,N,dim
dumbKNN,1894848,16,100000,7
dumbKNN,2373224,32,100000,7
dumbKNN,2855749,64,100000,7
bucketKNN,3924,2,100,1
bucketKNN,8046,4,100,1
bucketKNN,11980,8,100,1
bucketKNN,16061,16,100,1
bucketKNN,20201,32,100,1
bucketKNN,24234,64,100,1
bucketKNN,6475,2,1000,1
bucketKNN,13353,4,1000,1
bucketKNN,19907,8,1000,1
bucketKNN,26775,16,1000,1
bucketKNN,33319,32,1000,1
bucketKNN,40077,64,1000,1
bucketKNN,6355,2,10000,1
bucketKNN,12899,4,10000,1
bucketKNN,19331,8,10000,1
bucketKNN,25907,16,10000,1
bucketKNN,32755,32,10000,1
bucketKNN,39178,64,10000,1
bucketKNN,6317,2,100000,1
bucketKNN,12557,4,100000,1
bucketKNN,18950,8,100000,1
bucketKNN,25128,16,100000,1
bucketKNN,31370,32,100000,1
bucketKNN,37853,64,100000,1
bucketKNN,5176,2,100,2
bucketKNN,10266,4,100,2
bucketKNN,15367,8,100,2
bucketKNN,20288,16,100,2
bucketKNN,25485,32,100,2
bucketKNN,30568,64,100,2
bucketKNN,12630,2,1000,2
bucketKNN,25006,4,1000,2
bucketKNN,37291,8,1000,2
bucketKNN,49952,16,1000,2
bucketKNN,62309,32,1000,2
bucketKNN,74711,64,1000,2
bucketKNN,10209,2,10000,2
bucketKNN,20518,4,10000,2
bucketKNN,31143,8,10000,2
bucketKNN,41296,16,10000,2
bucketKNN,51778,32,10000,2
bucketKNN,62237,64,10000,2
bucketKNN,10531,2,100000,2
bucketKNN,21078,4,100000,2
bucketKNN,31440,8,100000,2
bucketKNN,42223,16,100000,2
bucketKNN,52982,32,100000,2
bucketKNN,63514,64,100000,2
bucketKNN,3616,2,100,3
bucketKNN,7155,4,100,3
bucketKNN,10757,8,100,3
bucketKNN,14361,16,100,3
bucketKNN,18013,32,100,3
bucketKNN,21839,64,100,3
bucketKNN,12300,2,1000,3
bucketKNN,24413,4,1000,3
bucketKNN,36912,8,1000,3
bucketKNN,49136,16,1000,3
bucketKNN,61590,32,1000,3
bucketKNN,73697,64,1000,3
bucketKNN,12411,2,10000,3
bucketKNN,24591,4,10000,3
bucketKNN,37430,8,10000,3
bucketKNN,50016,16,10000,3
bucketKNN,63366,32,10000,3
bucketKNN,75853,64,10000,3
bucketKNN,14909,2,100000,3
bucketKNN,29281,4,100000,3
bucketKNN,43200,8,100000,3
bucketKNN,57090,16,100000,3
bucketKNN,71078,32,100000,3
bucketKNN,85017,64,100000,3
bucketKNN,3174,2,100,4
bucketKNN,6275,4,100,4
bucketKNN,9482,8,100,4
bucketKNN,12530,16,100,4
bucketKNN,15552,32,100,4
bucketKNN,18860,64,100,4
bucketKNN,38760,2,1000,4
bucketKNN,77255,4,1000,4
bucketKNN,116515,8,1000,4
bucketKNN,155403,16,1000,4
bucketKNN,194846,32,1000,4
bucketKNN,233879,64,1000,4
bucketKNN,22752,2,10000,4
bucketKNN,45320,4,10000,4
bucketKNN,67691,8,10000,4
bucketKNN,89858,16,10000,4
bucketKNN,111984,32,10000,4
bucketKNN,134778,64,10000,4
bucketKNN,19091,2,100000,4
bucketKNN,38421,4,100000,4
bucketKNN,57408,8,100000,4
bucketKNN,77277,16,100000,4
bucketKNN,96635,32,100000,4
bucketKNN,115865,64,100000,4
bucketKNN,2613,2,100,5
bucketKNN,5196,4,100,5
bucketKNN,7848,8,100,5
bucketKNN,10611,16,100,5
bucketKNN,13183,32,100,5
bucketKNN,16500,64,100,5
bucketKNN,32406,2,1000,5
bucketKNN,65045,4,1000,5
bucketKNN,98199,8,1000,5
bucketKNN,131355,16,1000,5
bucketKNN,163769,32,1000,5
bucketKNN,196344,64,1000,5
bucketKNN,48287,2,10000,5
bucketKNN,96745,4,10000,5
bucketKNN,145325,8,10000,5
bucketKNN,193531,16,10000,5
bucketKNN,241786,32,10000,5
bucketKNN,290324,64,10000,5
bucketKNN,30222,2,100000,5
bucketKNN,60635,4,100000,5
bucketKNN,91108,8,100000,5
bucketKNN,121379,16,100000,5
bucketKNN,152026,32,100000,5
bucketKNN,182566,64,100000,5
bucketKNN,2142,2,100,6
bucketKNN,4233,4,100,6
bucketKNN,6473,8,100,6
bucketKNN,8521,16,100,6
bucketKNN,10674,32,100,6
bucketKNN,14638,64,100,6
bucketKNN,27106,2,1000,6
bucketKNN,54400,4,1000,6
bucketKNN,81326,8,1000,6
bucketKNN,108436,16,1000,6
bucketKNN,135729,32,1000,6
bucketKNN,162658,64,1000,6
bucketKNN,30000,2,10000,6
bucketKNN,59928,4,10000,6
bucketKNN,89934,8,10000,6
bucketKNN,119954,16,10000,6
bucketKNN,149659,32,10000,6
bucketKNN,179571,64,10000,6
bucketKNN,59812,2,100000,6
bucketKNN,120474,4,100000,6
bucketKNN,180386,8,100000,6
bucketKNN,241076,16,100000,6
bucketKNN,301490,32,100000,6
bucketKNN,361338,64,100000,6
bucketKNN,2122,2,100,7
bucketKNN,3898,4,100,7
bucketKNN,5971,8,100,7
bucketKNN,7951,16,100,7
bucketKNN,10562,32,100,7
bucketKNN,15171,64,100,7
bucketKNN,21663,2,1000,7
bucketKNN,43030,4,1000,7
bucketKNN,64725,8,1000,7
bucketKNN,86344,16,1000,7
bucketKNN,108276,32,1000,7
bucketKNN,130160,64,1000,7
bucketKNN,27462,2,10000,7
bucketKNN,54649,4,10000,7
bucketKNN,81989,8,10000,7
bucketKNN,108935,16,10000,7
bucketKNN,135915,32,10000,7
bucketKNN,184404,64,10000,7
bucketKNN,233759,2,100000,7
bucketKNN,467358,4,100000,7
bucketKNN,704304,8,100000,7
bucketKNN,938146,16,100000,7
bucketKNN,1174763,32,100000,7
bucketKNN,1412577,64,100000,7
quadTree,627,2,100,2
quadTree,1524,4,100,2
quadTree,2401,8,100,2
quadTree,3444,16,100,2
quadTree,4548,32,100,2
quadTree,5635,64,100,2
quadTree,5567,2,1000,2
quadTree,12094,4,1000,2
