N, No. of Threads, Time Taken in Microseconds
1024, 1, 1
1024, 2, 1
1024, 3, 5
1024, 4, 14
1024, 5, 48
1024, 6, 82
1024, 7, 89
1024, 8, 126
1024, 9, 142
1024, 10, 188
1024, 11, 134
1024, 12, 170
1024, 13, 181
1024, 14, 207
1024, 15, 220
1024, 16, 269
2048, 1, 2
2048, 2, 6
2048, 3, 13
2048, 4, 12
2048, 5, 47
2048, 6, 73
2048, 7, 82
2048, 8, 146
2048, 9, 160
2048, 10, 200
2048, 11, 145
2048, 12, 176
2048, 13, 178
2048, 14, 211
2048, 15, 226
2048, 16, 270
4096, 1, 5
4096, 2, 3
4096, 3, 5
4096, 4, 16
4096, 5, 47
4096, 6, 72
4096, 7, 92
4096, 8, 138
4096, 9, 157
4096, 10, 203
4096, 11, 146
4096, 12, 177
4096, 13, 193
4096, 14, 258
4096, 15, 248
4096, 16, 282
8192, 1, 10
8192, 2, 11
8192, 3, 11
8192, 4, 3
8192, 5, 32
8192, 6, 54
8192, 7, 127
8192, 8, 163
8192, 9, 174
8192, 10, 238
8192, 11, 196
8192, 12, 201
8192, 13, 216
8192, 14, 242
8192, 15, 248
8192, 16, 283
16384, 1, 20
16384, 2, 13
16384, 3, 17
16384, 4, 27
16384, 5, 37
16384, 6, 48
16384, 7, 98
16384, 8, 170
16384, 9, 197
16384, 10, 258
16384, 11, 215
16384, 12, 229
16384, 13, 262
16384, 14, 236
16384, 15, 292
16384, 16, 380
