N, No. of Threads, Time Taken in Microseconds
1024, 1, 2
1024, 2, 1
1024, 3, 7
1024, 4, 11
1024, 5, 13
1024, 6, 33
1024, 7, 49
1024, 8, 53
1024, 9, 52
1024, 10, 80
1024, 11, 54
1024, 12, 63
1024, 13, 65
1024, 14, 71
1024, 15, 87
1024, 16, 94
2048, 1, 4
2048, 2, 3
2048, 3, 8
2048, 4, 19
2048, 5, 34
2048, 6, 23
2048, 7, 45
2048, 8, 58
2048, 9, 61
2048, 10, 74
2048, 11, 61
2048, 12, 71
2048, 13, 76
2048, 14, 79
2048, 15, 87
2048, 16, 93
4096, 1, 9
4096, 2, 6
4096, 3, 9
4096, 4, 23
4096, 5, 32
4096, 6, 8
4096, 7, 44
4096, 8, 59
4096, 9, 72
4096, 10, 90
4096, 11, 73
4096, 12, 77
4096, 13, 80
4096, 14, 93
4096, 15, 100
4096, 16, 97
8192, 1, 18
8192, 2, 14
8192, 3, 12
8192, 4, 26
8192, 5, 12
8192, 6, 57
8192, 7, 48
8192, 8, 80
8192, 9, 94
8192, 10, 104
8192, 11, 94
8192, 12, 100
8192, 13, 105
8192, 14, 114
8192, 15, 118
8192, 16, 124
16384, 1, 36
16384, 2, 25
16384, 3, 19
16384, 4, 20
16384, 5, 14
16384, 6, 59
16384, 7, 75
16384, 8, 116
16384, 9, 139
16384, 10, 154
16384, 11, 147
16384, 12, 160
16384, 13, 159
16384, 14, 170
16384, 15, 180
16384, 16, 183
